[Name],,,,,
Momentum and Mass,,,,,
,,,,,
[Data],,,,,
Accumulated Timestep,RMS P-Mass,RMS U-Mom,RMS V-Mom,RMS W-Mom,Current Timestep
1,3.34E-04,1.99E-04,1.40E-03,1.42E-03,1.00E+00
2,1.26E-04,2.68E-05,4.05E-05,4.22E-05,2.00E+00
3,8.39E-05,6.54E-06,1.35E-05,1.32E-05,3.00E+00
4,9.21E-05,9.32E-06,1.78E-05,1.54E-05,4.00E+00
5,7.62E-04,1.53E-04,5.71E-04,5.76E-04,1.00E+00
6,9.06E-05,1.14E-05,2.06E-05,1.91E-05,2.00E+00
7,8.47E-05,9.37E-06,2.41E-05,1.90E-05,3.00E+00
8,6.18E-05,7.75E-06,1.92E-05,1.08E-05,4.00E+00
9,6.10E-05,8.21E-06,2.88E-05,1.54E-05,5.00E+00
10,6.76E-05,9.41E-06,4.46E-05,2.42E-05,6.00E+00
11,5.46E-05,6.98E-06,1.51E-05,1.49E-05,7.00E+00
12,6.07E-05,5.58E-06,1.35E-05,1.06E-05,8.00E+00
13,5.28E-05,6.11E-06,2.31E-05,9.97E-06,9.00E+00
14,5.72E-05,7.98E-06,1.92E-05,1.30E-05,1.00E+01
15,7.63E-05,8.14E-06,1.67E-05,2.23E-05,1.10E+01
16,6.28E-05,5.23E-06,1.20E-05,1.28E-05,1.20E+01
17,5.90E-05,9.73E-06,3.20E-05,2.56E-05,1.30E+01
18,8.44E-05,1.01E-05,2.76E-05,2.33E-05,1.40E+01
19,5.72E-05,1.57E-05,2.76E-05,1.99E-05,1.50E+01
20,8.91E-05,1.93E-05,4.36E-05,3.28E-05,1.60E+01
21,6.53E-05,8.59E-06,1.79E-05,1.68E-05,1.70E+01
22,7.64E-05,1.06E-05,1.54E-05,1.28E-05,1.80E+01
23,9.59E-05,1.02E-05,1.48E-05,1.85E-05,1.90E+01
24,7.90E-05,7.04E-06,1.03E-05,1.32E-05,2.00E+01
25,5.46E-05,7.92E-06,2.37E-05,1.47E-05,2.10E+01
26,9.27E-05,1.21E-05,4.86E-05,2.47E-05,2.20E+01
27,8.08E-05,1.09E-05,1.84E-05,1.65E-05,2.30E+01
28,7.26E-05,7.25E-06,1.51E-05,1.51E-05,2.40E+01
29,7.21E-05,9.70E-06,2.24E-05,3.09E-05,2.50E+01
30,6.96E-05,8.10E-06,1.81E-05,1.92E-05,2.60E+01
31,6.82E-05,8.21E-06,2.09E-05,1.32E-05,2.70E+01
32,6.16E-05,6.67E-06,1.60E-05,1.00E-05,2.80E+01
33,6.31E-05,6.88E-06,1.67E-05,1.42E-05,2.90E+01
34,7.41E-05,7.25E-06,1.55E-05,1.59E-05,3.00E+01
35,8.63E-05,1.29E-05,3.79E-05,2.59E-05,3.10E+01
36,7.37E-05,3.86E-05,8.60E-05,5.22E-05,3.20E+01
37,8.39E-05,1.72E-05,6.35E-05,4.12E-05,3.30E+01
38,9.75E-05,2.09E-05,5.50E-05,4.19E-05,3.40E+01
39,9.80E-05,9.26E-06,1.66E-05,2.93E-05,3.50E+01
40,6.65E-05,6.78E-06,2.57E-05,1.55E-05,3.60E+01
41,9.88E-05,1.16E-05,4.50E-05,2.35E-05,3.70E+01
42,6.09E-05,5.98E-06,1.29E-05,6.28E-06,3.80E+01
43,8.24E-05,1.38E-05,3.85E-05,1.60E-05,3.90E+01
44,6.07E-05,1.20E-05,3.24E-05,1.66E-05,4.00E+01
45,9.81E-05,9.51E-06,2.18E-05,1.69E-05,4.10E+01
46,7.19E-05,7.53E-06,2.31E-05,1.44E-05,4.20E+01
47,5.58E-05,9.68E-06,1.77E-05,2.15E-05,4.30E+01
48,7.25E-05,9.39E-06,3.14E-05,3.78E-05,4.40E+01
49,6.67E-05,1.10E-05,1.59E-05,1.55E-05,4.50E+01
50,5.61E-05,5.83E-06,6.34E-06,1.15E-05,4.60E+01
51,8.97E-04,1.37E-04,5.61E-04,7.00E-04,1.00E+00
52,8.71E-05,8.67E-06,1.15E-05,1.19E-05,2.00E+00
53,6.55E-05,6.61E-06,1.09E-05,1.81E-05,3.00E+00
54,6.07E-05,7.70E-06,1.73E-05,1.66E-05,4.00E+00
55,6.97E-05,7.71E-06,3.04E-05,2.49E-05,5.00E+00
56,6.31E-05,6.61E-06,2.34E-05,1.99E-05,6.00E+00
57,7.11E-05,7.20E-06,2.11E-05,2.11E-05,7.00E+00
58,9.65E-05,1.70E-05,3.13E-05,1.83E-05,8.00E+00
59,8.63E-05,1.50E-05,4.06E-05,2.44E-05,9.00E+00
60,8.64E-05,1.15E-05,3.83E-05,3.09E-05,1.00E+01
61,6.47E-05,7.13E-06,1.92E-05,2.16E-05,1.10E+01
62,5.84E-05,4.64E-06,1.30E-05,1.07E-05,1.20E+01
63,9.94E-05,2.01E-05,4.80E-05,2.03E-05,1.30E+01
64,6.37E-05,1.29E-05,3.69E-05,2.04E-05,1.40E+01
65,7.38E-05,1.48E-05,3.45E-05,2.46E-05,1.50E+01
66,7.63E-05,1.15E-05,4.97E-05,2.83E-05,1.60E+01
67,7.18E-05,9.12E-06,3.76E-05,2.38E-05,1.70E+01
68,7.83E-05,1.50E-05,4.35E-05,3.33E-05,1.80E+01
69,5.89E-05,1.16E-05,1.59E-05,1.38E-05,1.90E+01
70,7.49E-05,1.29E-05,2.92E-05,2.32E-05,2.00E+01
71,6.80E-05,8.80E-06,2.12E-05,1.24E-05,2.10E+01
72,9.94E-05,2.68E-05,3.56E-05,2.97E-05,2.20E+01
73,7.21E-05,1.49E-05,2.66E-05,2.14E-05,2.30E+01
74,9.58E-05,1.41E-05,3.10E-05,3.12E-05,2.40E+01
75,8.74E-05,1.26E-05,3.42E-05,3.82E-05,2.50E+01
76,6.43E-05,5.07E-06,1.11E-05,1.46E-05,2.60E+01
77,6.20E-05,4.37E-06,6.74E-06,9.14E-06,2.70E+01
78,6.49E-05,5.16E-06,1.24E-05,1.71E-05,2.80E+01
79,7.67E-05,1.77E-05,2.00E-05,3.50E-05,2.90E+01
80,5.94E-05,1.03E-05,1.86E-05,2.88E-05,3.00E+01
81,5.38E-05,6.30E-06,1.72E-05,2.41E-05,3.10E+01
82,9.89E-05,7.24E-06,2.96E-05,1.94E-05,3.20E+01
83,5.53E-05,7.53E-06,1.52E-05,1.73E-05,3.30E+01
84,6.58E-05,7.44E-06,1.62E-05,2.01E-05,3.40E+01
85,1.08E-03,1.99E-04,8.21E-04,9.13E-04,1.00E+00
86,8.78E-05,1.26E-05,1.85E-05,1.69E-05,2.00E+00
87,9.38E-05,1.22E-05,2.80E-05,3.45E-05,3.00E+00
88,6.94E-05,9.32E-06,2.59E-05,3.49E-05,4.00E+00
89,7.60E-05,1.03E-05,1.79E-05,2.84E-05,5.00E+00
90,6.16E-05,8.15E-06,1.65E-05,2.07E-05,6.00E+00
91,9.35E-05,1.09E-05,1.42E-05,2.50E-05,7.00E+00
92,7.36E-05,5.70E-06,5.70E-06,8.99E-06,8.00E+00
93,5.70E-05,4.62E-06,4.30E-06,4.70E-06,9.00E+00
94,9.68E-05,6.41E-06,9.23E-06,9.73E-06,1.00E+01
95,8.85E-05,7.68E-06,1.91E-05,8.32E-06,1.10E+01
